reviewId,userName,sentiment,content,score,at
d0abf486-d097-4d46-898d-89795f29dd9c,JFG Arrahman,2,Tokped mantaap,5,2024-12-22 18:44:48
fbcc22d9-e2b8-4e21-b488-f3723c5a8237,Er Nap,1,"kurir pengiriman nya sangat mengecewakan ID express jangan dipake jelek... !, selalu menunda2 pengiriman mirip pejabat desa cari cuan. jangan pakai apk lokal ini sebelum dibikin jengke pengalaman buruk belanjal....!!!!",1,2024-12-22 18:44:29
5d7981f4-7614-4763-90a8-8f455b60c33b,Okki Karyadi,1,"Pembatalan belanja status masih proses butuh waktu lama.. harus tunggu persetujuan seller, harusnya seperti toko orange tidak harus tunggu persetujuan seller.",3,2024-12-22 18:41:54
2ba475a4-bdd2-4353-91d9-ef75586f04be,Muhammad Yusuf Agung,1,"satu fitur yang sangat disayangkan hilang tanpa ada penjelasan. Yaitu split payment, padahal bisa digunakan untuk membeli barang sekaligus meningkatkan limit baik dari cc tokopedia card atau Gopaylater. Mohon untuk tanggapannya",5,2024-12-22 18:37:13
6e5e163a-b516-470f-95ae-f9c280a386b4,Ardi ero,2,toped mantab,5,2024-12-22 18:36:44
d4399e14-3039-4623-b7e7-919efe760d73,Dandi Rachman Maulana,1,Tabungan emas saya kapan di jadikan saldo tokped nya ?,1,2024-12-22 18:35:02
8aa807dd-0f63-4245-9027-eee3c4c5c07c,sitti aisyah,2,sangat bagus aplikasinya sangat memuaskan,5,2024-12-22 18:29:34
2cf772de-3b14-4d34-b0c7-f3c561bccac4,Budi Jaya,0,ok,5,2024-12-22 18:17:54
aa454fe7-06d6-4eef-824c-42817e7cb9b4,Atsal AInun,2,aplikasi pesan online favorit gua ini mah,5,2024-12-22 18:12:42
ea61039c-2809-4467-974d-d5ae12645ff8,Rafadlis,0,"Saya kurang setuju kalau official diganti jadi Mall, terus jadi cuma ada dua jenis toko. padahal menurut saya konsep official itu lebih bagus daripada mall, karena kurang sesaui dengan konteks, yang official belum tentu mall, mall kan lebih ke tempat gede. Terus dengan adanya 3 jenis toko kita bisa estimasi mana yang resmi, gede, dan kecil Apa lagi kan itu ciri khas tokopedia pakai official dan lainnya, kenapa harus ikut ikut yang lain? Sayang sekali sih, ikonik padahal, kecewa",1,2024-12-22 18:01:34
dbd7c3ed-fae5-4cfe-bf08-c76eccaed69e,Muhamad Afrizal Mahmudi,1,"sudah tahu bakalan dibatalin sistem pembayarannya, sudah terlanjur pakai promonya, dan setelah batal malah diskon promonya tidak di kembalikan.",1,2024-12-22 17:56:38
7bf62db3-158d-4492-a81f-1d11305d6211,Mhmmd Dvs,2,good,3,2024-12-22 17:54:39
6ba0ce12-d470-4134-81f4-4d08c9d3023d,A pd,0,tetap semangat dan staaaay hot toped ... and other market too....,5,2024-12-22 17:47:58
a33db12f-8695-4357-9de6-820ca9543c86,angelin silence (angel),1,"Mau cek out selalu gagal ,""maaf ada gangguan,silahkan coba lagi"" terus saja coba lagi sampai w gangguan jiwa😬😬😬",1,2024-12-22 17:33:09
7f28090b-0453-407c-b7e4-08b6d4665a60,Neni,2,Belanja hemat banyak diskon,5,2024-12-22 17:23:18
79f5ce25-94e0-4f56-93b1-3ad03e72a312,Ramadhoni Tifan,1,kenapa kalau sudah deket sama lokasi rumah kok harus tunggu estimasi tanggal!!!!,1,2024-12-22 17:11:00
041e1cf4-2a6f-4864-b317-ed8086f08a83,joyo ningrad,2,mantap jos,5,2024-12-22 17:04:30
34bf8e1e-7147-411b-a6b4-75e231865e30,Mursyid Efendi,2,Puas sekali,5,2024-12-22 16:58:34
c388a81e-8120-433c-85b8-0669079aba19,Ridha Jalil,2,Tdk pernah mengecewakan,5,2024-12-22 16:58:24
f1e9112a-27b4-4d49-bda3-3f844d4d92bc,Aditya Putra,1,"Habis update di tokopedia lite gabisa pakai kupon, terus kalau buka di tokopedia satunya harga terpaut beda jauh ajg lah",1,2024-12-22 16:57:32
091ad8df-5936-4fd3-8957-cb0b05d60fcf,Jumaidi Jumaidi,2,yoi,5,2024-12-22 16:43:59
594d220e-7833-4e8f-8721-4f1e623f23a3,Mario Gotrel,2,mantapp,5,2024-12-22 16:42:51
11b8977e-d133-43b3-8d63-46d3d4e611d1,Siti Sugih Rahmahyanti,2,"Puas belanja ditoko pedia,Belanja lebih menarik ,sekarang lebih banyak promo dan gratis ongkir,brang brang juga bagus original semua.",5,2024-12-22 16:42:40
abe8e4ca-fd08-49cd-aa3a-44d338188363,Tasya Firya,2,"Baru 2 hari pakai apk ini dapat diskon sebagai pengguna baru promonya besar²an tapi sangat di sayangkan kadang di etalase tersedia waktunya cekout pas kita ini dapat vocher diskon seller pasti bilang barang kosong dan suruh membatalkan,sudah 2x belanja dapat vocher diskon besar tapi seller selalu bilang barang kosong dan suruh membatalkan pesanan. Sebenarnya harus di croscheck lagi apakah barang atau tidak dn mengubah stok di etalase tersebut agar tidak mengecawakan konsumen. 2x dapat seller tidak jls",1,2024-12-22 16:39:04
